<<<<<<< HEAD

=======
title,type,release_date,overview
Saving Star Wars,movie,2004-06-09,Two Star Wars fans venture to deliver a letter to George Lucas.
Quentin Tarantino's Star Wars,movie,2002-06-09,"We're all familiar with the story: a long time ago in a galaxy far, far away, on a planet called Tattooine, a boy named Luke Skywalker is adopted by the only remaining Jedi knight and helps the Rebellion destroy the Death Star after learning the ways of the force. However, what if ""Pulp Fiction"" director Quentin Tarantino had directed George Lucas' script, using Kenner action figures and stop computer animation?"
LEGO Star Wars: Celebrate The Season,tv,2020-11-05,A series of animated shorts featuring LEGO Star Wars characters celebrating various holidays.
K-1 Star Wars '96,movie,,K-1 Star Wars '96
The Mythology of Star Wars,movie,1999-01-01,George Lucas discusses how Joseph Campbell and his concept of the Monomyth (aka the Hero's Journey) and other concepts from mythology and religion shaped the Star Wars saga.
WCCW Thanksgiving Star Wars '83,movie,1983-11-24,Kerry Von Erich and Michael Hayes clash in a steel cage in a loser leaves town match.
Ahsoka,tv,2023-08-22,Former Jedi Knight Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.
Star Wars: Droids - The Battle Against Sise Fromm,movie,1985-09-28,"Combination of episodes 1 to 4 of the animated series Droid Adventures.  After being dumped in the Ingo Desert by their master, C-3PO and R2-D2 accidentally run into several new masters and collide with gangsters, criminals, pirates, Boba Fett, IG-88, the Galactic Empire and other threats , finding themselves in various difficult situations."
Adivaram With Star Maa Parivaram - Star Wars,tv,2022-09-25,"Hosted by Sreemukhi, get ready for non-stop entertainment as your favourite Maa families play musical games and challenge each other for cash prizes."
WCCW Christmas Star Wars '82,movie,1982-12-25,"Kerry Von Erich faces Ric Flair in a bloody Steel Cage Match with Michael ""P.S"" Hayes as referee with the NWA World's Heavyweight Championship hanging in the balance!"
WCCW Christmas Star Wars '83,movie,1983-12-25,The most wonderful time of the year sees some intense action inside the squared circle in The Lone Star State.
Star Wars Vehicle Flythroughs,tv,2021-05-03,"Get up-close-and-personal with some of the Star Wars films’ most iconic and beloved ships and vehicles as this charming series whisks you off for fly-through tours of the Galaxy Far, Far Away."
Star Wars: Within a Minute - The Making of Episode III,movie,2005-11-01,"This documentary offers a glimpse into all the people, departments, and work that went into creating the film, specifically, the fight between Anakin Skywalker and Obi-Wan Kenobi. Featured on the 2-Disc DVD for Star Wars: Episode III - Revenge of the Sith."
WCCW Star Wars (February 1981),movie,1981-02-22,"Kerry Von Erich gets his shot at the NWA World's Heavyweight Championship. But to become a champion ""The Modern-Day Warrior"" will need to topple NWA kingpin Harley Race."
WCCW Christmas Star Wars '81,movie,1981-12-25,Christmas Day bring the action and excitement of World Class Championship Wrestling comes in the form of season's beatings when the Von Erich boys ride into town.
Star Wars: Threads of Destiny,movie,2014-02-23,"94 years after the defeat of emperor Palpatine, the galaxy is once again in deep conflict. The new republic and the Skenvi empire both compete over the small planet Coreign that provides a special ore."
How Star Wars Was Saved in the Edit,movie,2017-12-07,"Joey Scoma demonstrates how Star Wars (1977), a potential disaster in its rough cut, was saved in the editing."
Star Wars: Droids - Treasure of the Hidden Planet,movie,1989-10-02,"Mungo Baobab and his droids, Threepio and Artoo, are trailing the Rainbow comets of Manda in search of the fabled Roon system. Before they get there, they make an enemy out of the greedy Governor Koong. On Roon, they meet Auren Yomm and join her Umbo racing team in the Roon Games. Mungo takes up his old uncle Ogger's quest of finding the source of the valuable Roonstones. Meanwhile, Koong uses germ warfare against the rebellious province of Umboo and it becomes a race against time to find a cure for the Rooze infection. Written by Il Tesoro"
Hollywood's Master of Myth: Joseph Campbell - The Force Behind Star Wars,movie,1999-07-18,"Documentary charting the contribution to Hollywood movies made by writer Joseph Campbell, whose ideas about mythic structure helped shape Star Wars."
The Stars of Star Wars,movie,1999-10-20,Interviews with the cast of all the Star Wars films and inside info on the films.
Star Wars at the BBC,movie,2015-12-16,"A long time ago in a TV studio not so far away, the stars of the original Star Wars film came to the BBC to promote their then-unknown movie. Want to see a Wookie on Blue Peter, or Luke Skywalker meet Michael Aspel? Then take a look through archive BBC footage – much of which has not been shown since the 70s – to see how UK viewers were introduced to the idea of ‘the force’, protocol droids and galactic princesses.  Did Mark Hamill really appear on Coronation Street? Peter Serafinowicz, the voice of Darth Maul himself, will reveal the answer."
Star Wars: Episode III - Making the Game,movie,2005-05-04,"After you witness the stunning Jedi action in Episode III, you can experience it yourself in the Star Wars: Episode III video game. Discover how game developers at LucasArts worked closely on set and behind the scenes with George Lucas, cast and crew to create the most authentic Jedi experience ever. With the collaboration of Lucas, stunt coordinator Nick Gillard, and Hayden Christensen, Episode III is the first game that truly gives you all the powers of a Jedi Knight."
Pro Wrestling USA: Star Wars 1985,movie,,"February 24, 1985 in East Rutherford, NJ"
"Star Wars, la trilogie - Les bonus",movie,2004-09-21,
The Untitled Star Wars Mockumentary,movie,2003-06-25,Damon Packard parodies the making of Star Wars: Attack of the Clones
The Secret of Star Wars,movie,2015-12-11,"Dev explores what makes Star Wars one of the most loved, successful and hyped franchises of all time, and interviews new stars John Boyega, Daisy Ridley and director J.J. Abrams.  What is the secret of Star Wars? For nearly 40 years it has broken box office records, inspired devotion among millions of fans worldwide, and created unprecedented levels of hype in the lead-up to each new film. What is the reason for the franchise’s appeal, even among young people who may never have seen one of the previous six films?"
Star Wars: Droids - The Pirates and the Prince,movie,1997-10-26,"Artoo, Threepio and a broken down android are traded into the hands of young miner Jann Tosh. The android turns out to be an alien with amnesia and a price on his head. It is in fact Mon Julpa, prince of Tammuz-an, who has been put in this predicament by the power hungry vizier Zatec-Cha. Jann, the droids, and a female freight pilot named Jessica Meade help Julpa claim his throne, battle the Pirates of Tarnoonga and settle a dispute with Tammuz-an clan leader Lord Toda. Written by Il Tesoro"
Ultraman Tiga & Ultraman Dyna: Warriors of the Star of Light,movie,1998-03-14,"The members of the Super GUTS force, one of whom is secretly Ultraman Dyna, are in the middle of a losing battle against an enormous monster on the surface of the moon, when suddenly a spaceship appears and saves them by zapping the beast. The crew of the ship claim to members of the world peace force that originally created the Super GUTS force, and they invite the GUTS members to enter their brainwave patterns into the ship's battle computer so it can be a more effective fighting system. It sounds like a good idea, but could they have some other plan up their sleeves?"
Pro Wrestling USA Star Wars: December 1984,movie,1985-12-25,"December 29, 1985 in East Rutherford, New Jersey at The Meadowlands"
The Dark Resurgence: A Star Wars Story,movie,,"At the fall of the Galactic Empire, a Sith Order emerged from the shadows to seize control of the Galaxy."
Guardian of the star wars village,movie,,
Star Wars op Kölsch,tv,2006-08-06,
War of Stars,movie,2018-08-28,"Documentary about the Polish fandom and various collectible Star Wars items from 70's and 80's. This is a sentimental retro journey to the times of PRL (Polish People's Republic), where passion and fantasy were meeting up with the sad reality of life under the communist oppression."
Musk Vs Bezos: The New Star Wars,movie,,Explores the intense competition between Elon Musk's SpaceX and Jeff Bezo's Blue Origin as they battle for the top spot in the U.S.'s space travel business.
Super Star Fleet Sazer-X the Movie: Fight! Star Warriors,movie,2005-12-17,"The Sazer-X team find a mysterious boy who claims to have amnesia, meanwhile, an ancient evil has awakened and begins consuming the people of earth. Bosquito, an extremely powerful evil being from ancient times has absorbed the power of the Justirisers and is using it to fuel its own minions. Sazer-X, the Justirisers, and the Gransazers must work together to defeat this villain and save the planet."
The Definitive History of Star Wars,movie,2015-12-11,"Documentary taking a behind-the-scenes look at how the world's biggest, multi-billion pound movie series came into existence. Featuring rare interviews with Star Wars producers Gary Kurtz and Robert Watts and insights from those members of the creative team who won Oscars making the visual effects. Plus, a few little-known and surprising facts surrounding the film franchise"
Built by Jedi - The Making of Star Wars Jedi: Fallen Order,movie,2019-11-15,"Follow the teams at Respawn, Lucasfilm and EA as they strive to translate the cinematic magic of Star Wars into the awe-inspiring gameplay of Star Wars Jedi: Fallen Order."
The Acolyte,tv,2024-06-04,"A hundred years before the rise of the Empire, the Jedi Order and the Galactic Republic have prospered for centuries without war. During this time, an investigation into a shocking crime spree pits a Jedi Master against a dangerous warrior from his past."
Star Wars: Deleted Magic,movie,2005-03-01,"A documentary about the making of the first Star Wars film (and to a lesser extent Empire and Jedi) including a look at some of the deleted scenes, behind the scenes footage, and notes on subtle things that you might have never seen or noticed before."
Star Wars Protector,movie,2023-07-31,"Star Wars Protector is an original story. It tells the tale of Kaylan Derrax (Desperado) who is a shell of a person roaming the deserts of Tatooine. Alone and isolated from everyone he goes on a journey of re-discovery, finding his purpose."
Star Wars Dreams,movie,2001-01-01,
The Making of Star Wars - The Phantom Menace,movie,2020-12-01,Making of Star Wars - The Phantom Menace (1999). This video is not an official product. It was created and edited by a team of dedicated fans of Lucasfilm. The footage used are the webisodes and featurettes officially released by Lucasfilm. All rights to any material used remain courtesy of their respective owners.
The Last Padawan: A Short Star Wars Story,movie,2016-12-21,A Jedi Padawan is on the run. By his Jedi Master's last request he must find the Order's reserve of the Kyber Crystals. The key component to creating the weapon of a Jedi Knight.
From the Ashes: A LEGO Star Wars Story,movie,2021-11-21,"Following the discovery of a serious threat to the Clone Army of the Republic, a unit of civilian volunteers is dispatched to quell the Separatist scheme. Meanwhile, a young man with a special gift struggles to find a place of belonging in the galaxy.  ""From the Ashes"" is a fan-made, feature-length LEGO stop-motion Star Wars film."
The Mandalorian,tv,2019-11-12,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter."
The Stars Are the Eyes of Warriors,movie,1972-03-16,"When a warrior dies, a star is born, a company of us die when born to a group of stars. Small children are fascinated by ancient legends and stories of old people, people replace their signature ready to be shot and put yourself in front of the German pipe."
The Last Padawan II: A Short Star Wars Story,movie,2021-09-21,The Last Padawan is back with The Evil Empire hot on his heels. While seeking help from the local Rebels The Padawan will have to make a choice: Will he reveal himself and save the people or hide and save the Jedi order.
The Star Wars Suite – The Danish National Symphony Orchestra,movie,2007-06-01,"On June 2017,  the Danish Broadcasting Corporation (DR) hosted three orchestral concerts called Galaxymphony which included some of the soundtrack from various space and sci-fi movies. This is their version of some of the Star Wars soundtrack across all seven movies.  The concert was hosted by Jakob Stegelmann and conducted by Antony Hermus. The performance was orchestrated by The Danish National Symphony Orchestra with help from the 'Camerata' and 'Hymnia' choirs. As told in the video, the host, Jakob Stegelmann, is very passionate about the Star Wars films and therefore evidently the main event of the concert. Therefore, I have shared this extra long video (what a horror it was to render) for you to enjoy."
Toy Empire: The British Force Behind Star Wars Toys,movie,2019-12-16,Superfan David Whiteley celebrates how an unassuming band of designers and factory workers in Leicestershire created the toys which were to define a generation.
Star Wars in Real Life I: A New Menace,movie,2016-12-31,"After a war between the the light and dark side of the force, the sith are believed to be eradicated. The three remaining Jedi, Cory, Mike, and their apprentice Gabe, begin to rebuild a Jedi order. But after an encounter with a rogue Jedi, Gabe begins to question his relationship with Cory and becomes conflicted when he learns the truth of his brother, Supreme Leader Caleb. Watch this exciting tale of good, evil, and the force, which all takes place in a galaxy not so far away."
Cuarto Milenio. Especial Star Wars,movie,2015-12-27,
Scout: A Star Wars Story,movie,2017-03-22,"Scout: A Star Wars Story, tells the tale of Dax Orrell, a soldier on The Forest Moon of Endor, during Return of the Jedi, who wakes up in a daze with no idea as to where the rest of his battalion has gone."
Making of Star Wars Revenge of the Sith,movie,,Making of Star Wars - Revenge of the Sith (2005). This video is not an official product. It was created and edited by a team of dedicated fans of Lucasfilm. The footage used are the webisodes and featurettes officially released by Lucasfilm. All rights to any material used remain courtesy of their respective owners.
Warm Star,movie,2020-06-15,"A bird, busy tidying up the skies, accidentally drops a star. Children find it on the ground. But how can they return it to its rightful place?"
Star Wars Galactic Heroes,movie,,A loose adaptation of Star Wars Episode I The Phantom Menace using the 2 inch Star Wars Galactic Heroes action figures.
Some Star Wars-Influenced 8mm Production,movie,1982-01-01,It was created by Murajikumamoto or Muraji Kumamoto in the early eighties as a college project. This was made in 1982 and it was shot on 8 mm film. This was originally going to be 20 minutes long.
Star Wars Episode V 1/2: The Han Solo Affair,movie,2006-05-25,
Star Wars in Real Life II: Attack of the Empire,movie,2019-12-14,"After turning to the dark side, Gabe begins to question whether he has made the right choice. He is unable to shake a connection to his old life, and his new master Cody only furthers his uncertainty. Meanwhile, Jedi Masters Cory and Mike enlist the help of Seth Weeks Bounty Hunter to find a new resource in defeating the Sith. In the Exciting sequel to Star Wars in Real Life Episode I: A New Menace, bonds are tested and loyalties are crossed as the battle between the Light and Dark continues."
Star Wars in Real Life III: Revenge of the Jedi,movie,2020-05-04,"After the defeat of the Jedi, nothing has stood in Supreme Leader Cody's way. With the power of his battlestation, he has been able to take over the world and rule it with an iron grip. The only thing that Cody has to worry about is his apprentice Gabe, and if he is truly loyal to the Empire he helped create. For Gabe's final test, Cody send him to find and kill Jedi Masters Cory and Mike, thus eradicating the Jedi once and for all. Experience the final chapter in the SWIRL Trilogy with exciting action, stunning visuals, and the  epic final showdown between the Light and the Dark."
The Making of Star Wars Attack of the Clones,movie,,Making of Star Wars - Attack of the Clones (2002). This video is not an official product. It was created and edited by a team of dedicated fans of Lucasfilm. The footage used are the webisodes and featurettes officially released by Lucasfilm. All rights to any material used remain courtesy of their respective owners.
The Galaxy Britain Built: The British Force Behind Star Wars,movie,2017-12-21,"Superfan David Whiteley celebrates the unsung British heroes behind the first film in the Star Wars’ franchise, 1977’s eponymously titled Star Wars.  The Star Wars saga ends with the release of The Rise of Skywalker in December 2019. This documentary celebrates where it all began. It includes previously unheard stories from the people who made one of the most successful movies of all time, with additional interviews and previously unseen behind-the-scenes footage.  The presenter, Star Wars superfan David Whiteley, who has his own connection to the original film (he was born on May the 4th), tracks down the often modest British talent who brought the galaxy to life.  David explores the contribution of the London Symphony Orchestra and meets Ann Skinner, who was in charge of continuity. As well as seeing her original stills from the set, Ann reveals how she helped Sir Alec Guinness with one of the most famous speeches in Star Wars."
Last trial: A Star Wars collateral story,movie,2023-12-22,"18 years after the great Jedi purge, a lost padawan acting as a rebel spy and a rookie soldier face the hardest and most important trial of their lives whilst surrounded by a storm of smoke, fire and thousands of blaster bolts."
Star Wars: Battle of the Bay,movie,,"When Newport Harbor hires Darth Vader to bring the Sailors to the dark side, Jakobi Wan-Kenobi and Matt Skywalker must assist the Seakings in defeating the evil Sailors in the Battle Of The Bay."
LEGO Star Wars - Clone Trooper Orchestra,movie,,
RiffTrax: Star Wars: The Force Awakens,movie,,"Scavenger girl Rey leaves her junkyard home to fulfill her destiny of escorting a robot around the galaxy. Mike Nelson, Bill Corbett, and Kevin Murphy are here to see if there's more to the story in this humorous commentary."
All My Star Wars Cards,movie,2016-01-01,Every Star Wars card I owned. A eulogy.
Star Wars Kids: Relax,tv,2023-02-10,A series of hour-long repeating videos themed around different Star Wars characters and environments.
Star Wars By The Numbers,tv,2019-01-10,A series from Lucasfilm that counts fun Star Wars tidbits.
Star Wars: The Force and the Fury,movie,2017-04-22,A Jedi crash lands on a barren planet and is pursued by a mysterious Sith who seems to know him.
The Lost Relic: A Star Wars Story,movie,2023-11-30,"While the Rebellion celebrates its victory on the moon of Endor, the symbols of the imperial oppression are fading away. But one of them has survived."
Voice of a Star Wars Fan,movie,2023-11-27,"A fan of the Millennium Falcon seeks to understand how the ship was made, tracing all of the parts and pieces of the model - from heat sinks, fans, and L'eggs containers."
In The Lone Star Wars State,movie,,An all new documentary by Alejandro Cabrera about Star Wars fandom in Texas.
Star Wars Mindful Matters,tv,2022-05-04,"Join Ashley Eckstein for mindful lessons and exercises. Jedi Master Yoda once said, ""A Jedi must have the deepest commitment, the most serious mind."" Yoda teaches us that training our mind is just as important as physically training our body."
Wish Upon a Star: Cold Body + Warm Heart,movie,2009-06-01,"Hikari is a girl whose mother Mari has fused with a spaceship. Traveling in the spaceship, Armadillo, Hikari experiences things and encounters people, including a strange boy called Romeo who emerged from the extracted noise she came across on the Web, and her long-lost father Raven."
Star Wars Pathways: Chapter I - Path of Betrayal,movie,2006-01-01,A Jedi Knight searches for his missing Padawan on the barren ice planet Dais VI only to find someone from his past out for revenge.
LEGO Star Wars Summer Shorts,tv,2022-07-24,LEGO Star Wars Summer Shorts is a series of summer themed non-canon animated LEGO shorts.
Star Wars: The High Republic Show,tv,2021-01-27,"Host Krystina Arielle brings you the latest and greatest Star Wars: The High Republic news, interviews, and sneak peeks!"
Dark of the Storm: A Star Wars Fan Film,movie,2022-05-04,A lonesome scavenger finds an item of great importance that calls to the dark side of the force.
Echoes of the Force: A Star Wars Fan Film,movie,2024-02-07,"After the death of his master, a distraught padawan struggles to reconnect with the force."
Star Wars in Real Life IV: Shadows of the Past,movie,2020-08-01,"An exciting new spin-off in a galaxy near you! Set between the events of SWIRL II and III, join Jedi Master Mike as he explores his past. After the defeat to the Sith, Mike and Cory have parted ways. Mike now resides in hiding, searching within himself for answers. A response to his call echos a familiar voice from his past. Mike begins a journey with his droid BB-8 to find this ancient call and hopefully get the answers he has been looking for. Experiance this brand new SWIRL adventure with new lore, exciting new visuals, and a new foe that may be deadlier than Supreme Leader Cody himself."
Star Wars Kabuki — Rennosuke and the Three Light Sabers,movie,2019-11-04,"Staged in Tokyo, this one-off kabuki adaptation will combine plots from each of the franchise’s latest trilogy, substituting plots drawn from the days of feudal clan rivalry with drama from a galaxy far, far away."
FC Dinamo: FC Red Star – The War of Liberation Began at Maksimir Stadium,movie,2014-05-13,A documentary that explores the events of the disrupted football match between Dinamo (Zagreb) and Crvena Zvezda (Beograd) on May 13th 1990. As fighting broke out the match was cancelled and the events are explored with testimonies from members of Bad Blue Boys and the police of the time. The event is considered by many as the start of the Croatian war for independence (Domovinski rat).
The Empire Strikes Back,movie,1980-05-20,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
Return of the Jedi,movie,1983-05-25,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star."
Ewoks,tv,1985-09-07,The Ewok Wicket and his friends from the Bright Tree Village go on many magical adventures.
Obi-Wan Kenobi,tv,2022-05-26,"During the reign of the Galactic Empire, former Jedi Master, Obi-Wan Kenobi, embarks on a crucial mission to confront allies turned enemies and face the wrath of the Empire."
The Book of Boba Fett,tv,2021-12-29,Legendary bounty hunter Boba Fett and mercenary Fennec Shand must navigate the galaxy’s underworld when they return to the sands of Tatooine to stake their claim on the territory once ruled by Jabba the Hutt and his crime syndicate.
The Ewok Adventure,movie,1984-11-25,"Wicket the Ewok and his friends agree to help two shipwrecked human children, Mace and Cindel, on a quest to find their parents."
Ewoks: The Battle for Endor,movie,1985-11-24,"The army of the Marauders, led by King Terak and the witch Charal, attack the Ewoks village, killing Cindel's family. Cindel and the Ewok Wicket escape and meet Teek in the forest, a naughty and very fast animal. Teek takes them to a house in which an old man, Noa, lives. Like Cindel, he also crashed with his Starcruiser on Endor. Together they fight Terak and Charal."
Lando,movie,,"A spin-off of Solo: A Star Wars Story, featuring Donald Glover's Lando Calrissian in the leading role."
Balance of the Force,movie,2018-03-12,Explore the mythology of the Force and why Rian Johnson chose to interpret its role in such a unique way.
Rebels Recon,tv,2014-10-03,Webseries giving an inside look into the Star Wars Rebels TV Show
From Puppets to Pixels: Digital Characters in 'Episode II',movie,2002-11-12,"For Star Wars: Episode II - Attack of the Clones (2002), there were to be many more visual effects than in Star Wars: Episode I - The Phantom Menace (1999). This documentary shows many VFX meetings between George Lucas and ILM. Many of these meetings focus around the creation of a completely digital Yoda, used for the first time in the Star Wars films."
Dark Resurrection,movie,2007-06-07,"An ancient prophesy convinces the powerful Master Sorran to commence an obsessive search for Eron, a mythical place capable of giving the Chosen One infinite knowledge."
Star Warriors,movie,2007-01-01,"Some Star Wars fans want to collect action figures... these fans want to be action figures! A tribute to the 501st Legion, a global organization of Star Wars costume enthusiasts, this insightful documentary shows how the super-fan club promotes interest in the films through charity and volunteer work at fundraisers and high-profile special events around the world."
Dark Resurrection Volume 0,movie,2011-09-08,"Master Sorran is obsessed by his search for an ancient civilization which, according to legend, holds the secret of immortality. After many years he lights upon the wreck of the civilisation's most powerful starship: the Resurrection. Sorran ignores the dangers and orders his crew to dock. The explorers and Sorran himself will face the mysteries of the Resurrection and the secret of the origins of the dark side."
The Great Kamino Kaper: A Live Reading of Attack of the Clones,movie,2024-08-10,"Fresh off their smashing success with The Naboo Movie: A Live Reading of The Phantom Menace, The George Lucas Talk Show and Star Wars Minute Podcast are proud to announce their return to Dynasty Typewriter to celebrate Star Wars: Episode II - Attack of the Clones. Join them and an all-star cast (not just men. Women and children, too!) on August 10, 2024 for a LIVE staged reading of this action-packed second installment of the franchise that took over a galaxy.  A long time ago, in a galaxy far, far away THE REPUBLIC is on the brink of THE CLONE WARS and it's up to OBI-WAN KENOBI and his padawan ANAKIN SKYWALKER to protect SENATOR AMIDALA while unraveling the SEPARATIST CONSPIRACY. The only thing more dangerous than fiendish bounty hunter JANGO FETT and his boy BOBA is the allure of forbidden romance between a politician and her JEDI bodyguard. Can Anakin save his mother SHMI? Will JAR JAR BINKS help preserve democracy? Yoda doesn't have a lightsaber...does he?"
Ahsoka: Sabine's Loth-Cat,movie,2023-12-21,"Help babysit Sabine's Loth-cat, Murley, while she explores the galaxy. Relax or catnap to Star Wars ambience composed by Kevin Kiner, Sean Kiner, Deana Kiner and Jason Fujita."
The Beginning: Making Episode I,movie,2001-10-16,"The entire process of making Star Wars: Episode I - The Phantom Menace (1999) is shown here in this documentary. From pre-production through post-production, we get to see visual effects meetings, John Williams' music sessions, and even the storm that wiped out the pod-racers & props."
The Empire Strikes Door,movie,2019-09-25,A thrilling comedic documentary attempting to uncover the mystery of who is responsible for one of the most infamous bloopers in cinematic history.
Side by Side,movie,2012-08-19,"Since the invention of cinema, the standard format for recording moving images has been film. Over the past two decades, a new form of digital filmmaking has emerged, creating a groundbreaking evolution in the medium. Keanu Reeves explores the development of cinema and the impact of digital filmmaking via in-depth interviews with Hollywood masters, such as James Cameron, David Fincher, David Lynch, Christopher Nolan, Martin Scorsese, George Lucas, Steven Soderbergh, and many more."
Rogue Squadron,movie,,"A new generation of starfighter pilots earn their wings and risk their lives in a boundary-pushing, high-speed thrill-ride, and move the Star Wars saga into the future era of the galaxy."
Turks in Space,movie,2006-12-14,"The year is 2055, and the universe is in a state of turmoil, awaiting the formation of a government that can establish universal peace. Until such a time, the Orion Union stands in its stead, an uneasy alliance made up not of planets, but of their individual states, overlorded by unruly gangs, short-sighted tyrants and hissing, domineering queens. In short, chaos reigns."
The Force of Sound,movie,2018-02-20,"Go inside the sound design of Star Wars: The Last Jedi. From the ignition of a lightsaber to the chirp of a porg, Star Wars would not be the same without the brilliant sound design and mixing created by Skywalker Sound."
Returning to Jedi: A Filmumentary,movie,2007-01-20,"Returning to Jedi is an in-depth look at the making of Star Wars: Episode VI - Return of the Jedi. It features rare alternate takes, production audio, on-screen facts, cast and crew commentary, storyboards, behind the scenes footage and reconstructed scenes."
The Bunglers in the Planet Wars,movie,1978-03-26,"Coming from outer space, Prince Flick asks the Trapalhões to help him free his planet from the domain of evil Zuco and free Princess Myrna, who has been taken prisoner. He offers a reward, the four friends accept the mission and embark in a spaceship driven by a hairy monster called Bonzo. Once on the planet, they they defeat Zuco, but they fail to save Princess Myrna's life. Her place on the throne is then taken by Loya, the girlfriend Didi met on that planet. Back on Earth, os Trapalhões think their adventure was but a dream, but they are convinced otherwise when they find their reward."
The Visual Effects of Ahsoka with Dave Filoni and ILM,movie,2024-06-22,"Join creator Dave Filoni, Production Visual Effects Supervisor Richard Bluff, Animation Supervisor Paul Kavanagh, and Visual Effects Supervisor Enrico Damm for a roundtable discussion on the visual effects of Ahsoka."
Building Empire: A Filmumentary,movie,2006-03-02,"Building Empire is an unofficial commentary on The Empire Strikes Back. Starting with the movie itself, it adds behind the scenes footage, audio interviews with the cast and crew, alternate angles, reconstructed scenes, text facts and more to give an in-depth look at the process which brought the film to the big screen."
Hoshino,movie,2016-11-01,The tale of blind Jedi Master Ko Hoshino and her journey to becoming one with the Force.
Lightsaber Academy,tv,2022-08-02,Join Lightsaber Academy and Learn How to Wield a Lightsaber Like a True Jedi or Sith.
Ralph McQuarrie: Tribute to a Master,movie,2014-03-05,"Ralph McQuarrie, concept artist of the original Star Wars trilogy, was essential in bringing the characters, ships, and locales of a galaxy far, far away to life. In this special retrospective, Star Wars creator George Lucas, Industrial Light & Magic effects legend Dennis Muren, and many others discuss the impact of McQuarrie, his artistic gifts, and his legacy."
John Williams & Berliner Philharmonic - The Berlin Concert,movie,2022-02-04,"John Williams has made cinematic history with his film scores and transported entire generations into his musical worlds. He has composed the soundtracks for cinema blockbusters such as ""Star Wars"", ""Jurassic Park"", ""E.T."" and ""Harry Potter"". In this concert, he conducts some of his most famous film classics. At the same time, this is his debut on the podium of the Berliner Philharmoniker. May the Force be with him ..."
The Man Who Saved the World,movie,1982-11-04,"Two space cadets crash-land on a desert planet, where an evil wizard seeks the ultimate power to take over the world. Although the movie borrows some background footage from Star Wars, the plot is mostly unrelated."
손오공과 별들의 전쟁,movie,1979-07-21,
蓝猫淘气3000问之星际大战,tv,2001-06-01,
>>>>>>> a6316a5cbe2a38460c334471aed84e06491f7872
